instrument_id,symbol,underlying_name,opt_type,strike,maturity,maturity_dt,first_seen,last_seen
66046912715531,ضهرم3025,اهرم,call,30000.0,14050327.0,2026-06-17,20260114,20260621
242237343005473,طهرم3029,اهرم,put,46000.0,14050327.0,2026-06-17,20260114,20260621
314426943408035,ضهرم0132,اهرم,call,28000.0,14050230.0,2026-05-20,20251119,20260524
358972276573533,ضهرم1122,اهرم,call,24000.0,14041129.0,2026-02-18,20250917,20260222
436022019237590,ضهرم0136,اهرم,call,42000.0,14050230.0,2026-05-20,20251119,20260524
643036005369217,طهرم2016,اهرم,put,24000.0,14040231.0,2025-05-21,20241218,20250525
1045459295874171,طهرم2015,اهرم,put,22000.0,14040231.0,2025-05-21,20241218,20250525
1072594867110612,طهرم3011,اهرم,put,16000.0,14040408.0,2025-06-29,20250115,20250707
1159774479861052,ضهرم7046,اهرم,call,15000.0,14040730.0,2025-10-22,20250730,20251026
1297661069994378,طهرم1127,اهرم,put,38000.0,14041129.0,2026-02-18,20251222,20260222
1358103489429701,طهرم6029,اهرم,put,24000.0,14040626.0,2025-09-17,20250416,20250921
1885245589051719,طهرم9019,اهرم,put,24000.0,14040926.0,2025-12-17,20250721,20251222
1971624165613401,طهرم3031,اهرم,put,56000.0,14050327.0,2026-06-17,20260114,20260621
2490583367368706,طهرم6034,اهرم,put,38000.0,14040626.0,2025-09-17,20250416,20250921
2844510337092383,ضهرم2023,اهرم,call,18000.0,14050230.0,2026-05-20,20251217,20260524
2856551066420935,طهرم4015,اهرم,put,22000.0,14040425.0,2025-07-16,20250211,20250722
3091080135295837,ضهرم6037,اهرم,call,13000.0,14040626.0,2025-09-17,20250804,20250921
3139889859629827,طهرم2012,اهرم,put,16000.0,14040231.0,2025-05-21,20241218,20250525
3204302215526267,طهرم1023,اهرم,put,22000.0,14041024.0,2026-01-14,20250820,20260120
3211030207448646,ضهرم0131,اهرم,call,26000.0,14050230.0,2026-05-20,20251119,20260524
3227273770068398,ضهرم3011,اهرم,call,16000.0,14040408.0,2025-06-29,20250115,20250707
3347779590635452,ضهرم7036,اهرم,call,22000.0,14040730.0,2025-10-22,20250521,20251026
3588676268840746,ضهرم1029,اهرم,call,38000.0,14041024.0,2026-01-14,20251222,20260120
3610329689239174,ضهرم0123,اهرم,call,30000.0,14040127.0,2025-04-16,20241223,20250420
3729523725493580,ضهرم4023,اهرم,call,20000.0,14050431.0,2026-07-22,20260218,20260621
3840234761219367,ضهرم1120,اهرم,call,20000.0,14041129.0,2026-02-18,20250917,20260222
4004388680657267,ضهرم0113,اهرم,call,13000.0,14040127.0,2025-04-16,20241120,20250420
4124452253897536,ضهرم9021,اهرم,call,28000.0,14040926.0,2025-12-17,20250721,20251222
4129260625370116,ضهرم7041,اهرم,call,34000.0,14040730.0,2025-10-22,20250521,20251026
4145354871965704,طهرم5022,اهرم,put,34000.0,14040529.0,2025-08-20,20250312,20250823
4179394008695146,ضهرم6029,اهرم,call,24000.0,14040626.0,2025-09-17,20250416,20250921
4306573301276387,طهرم1017,اهرم,put,13000.0,14041024.0,2026-01-14,20250820,20260120
4477420230579361,طهرم1019,اهرم,put,15000.0,14041024.0,2026-01-14,20250820,20260120
4524833994206415,ضهرم3027,اهرم,call,38000.0,14050327.0,2026-06-17,20260114,20260621
4533129089365477,ضهرم0115,اهرم,call,15000.0,14040127.0,2025-04-16,20241120,20250420
4653326078614744,طهرم7046,اهرم,put,15000.0,14040730.0,2025-10-22,20250730,20251026
4667225914205056,ضهرم1248,اهرم,call,16000.0,14050230.0,2026-05-20,20251022,20260524
5078475730094392,طهرم1255,اهرم,put,30000.0,14050230.0,2026-05-20,20251022,20260524
