instrument_id,lob_files
66046912715531,101
242237343005473,101
314426943408035,120
358972276573533,108
436022019237590,120
643036005369217,101
1045459295874171,101
1072594867110612,108
1159774479861052,60
1297661069994378,41
1358103489429701,105
1885245589051719,107
1971624165613401,101
2490583367368706,105
2844510337092383,101
2856551066420935,103
3091080135295837,32
3139889859629827,101
3204302215526267,104
3211030207448646,120
3227273770068398,108
3347779590635452,105
3588676268840746,20
3610329689239174,73
3729523725493580,79
3840234761219367,108
4004388680657267,96
4124452253897536,107
4129260625370116,105
4145354871965704,105
4179394008695146,105
4306573301276387,104
4477420230579361,104
4524833994206415,101
4533129089365477,96
4653326078614744,60
4667225914205056,140
5078475730094392,140
5124208618745640,8
5146497788222540,140
5157738816602104,11
5223496086407692,107
5246164107421164,104
5598968249708051,41
5711469994977832,86
5917080551580748,108
6163437750088862,29
6414412694925150,79
6516175861369079,32
6716227078431864,103
6909772749489971,101
7272500625536549,105
7281803575716151,67
7289360616560476,105
7413427108041852,79
7601281576818295,11
7824762572915144,105
7924980879273200,101
8087683104762883,96
8356618500560464,60
8388211109168126,108
8524937055422928,108
8546590890598583,104
8734880282126160,32
8762680660117265,91
8898930095586153,105
8947315406793051,96
9538218081776544,108
9720245617182954,104
10166331302919666,108
10304951535800728,105
11127164889944592,11
11207358714695236,105
11266877358704192,11
11904328092002274,140
12065179656314492,96
12218508429243624,101
12362657578082924,108
12664961322836312,91
12665178472258984,105
12998578961084516,96
13073520458900544,104
13157274243357872,105
13393245653775664,108
13865917654059410,101
14279517997974452,107
14450561642482976,60
14709829877501732,101
14769441843715048,105
14863939040247060,105
15274373374368498,73
15442104301634640,105
15482271722076628,108
15768481490650460,96
16235806749351168,108
16500107627969006,107
16910925452660910,67
17070956186734606,120
17277380593629444,108
17459585154356016,86
17914401175772326,534
18006551998802546,73
18058227717273880,79
18319385530313680,20
18550952003471788,104
18857032649323552,107
19119603381147144,11
19155230758003344,101
19163091027032228,101
19359429951377416,140
19517878501482488,105
19518574358452264,11
19645358659912324,67
19786287369819848,101
19936365665953564,107
20123227921989684,104
20305746973390732,11
20404531251175936,91
20426259368291332,101
20448100369545096,79
20493461221047096,108
20644622483465168,32
20740782612661488,105
21047933409546596,11
21103883377941568,79
21291889032847368,104
21555525821610176,91
21717746919880088,108
21973914864339412,140
22001678137646824,105
22275919747618536,105
22400137801742252,120
22551375341508400,105
22740607057042088,101
22756925045204224,96
22890624801346952,79
23118025196114188,103
23368996807956152,11
23421627803822968,79
23461634353883956,79
23531259372622344,105
23789549767565148,91
24060114264386184,105
24138655695047560,101
24148256094066088,108
24192770786375212,101
24733707016789172,105
24944682177936944,105
24992053456786472,11
25212812381289192,120
25272310099881192,11
26037401831903764,105
26085737827096308,107
26119722911682960,103
26229519862064876,101
26237751258322432,101
26369050442385784,120
26453533962057344,79
26535245631513672,107
27031122233401904,105
27522285775000372,101
27883197679035468,105
27927715348693072,101
28101485026687560,101
28291108785172040,101
28540287641679048,101
28605204152792248,104
28735189906248428,103
28826630420810456,105
29379813589897952,101
29505605576478912,79
29834748229490564,103
30261597943692676,11
30551365032170996,11
30677791939871496,104
31035312888226396,120
31218389110754092,96
31569484973713792,96
32000546295435384,101
32154096324950680,96
32354743694451272,96
32656070444892732,91
32703798630728948,101
32757788378828864,101
32869913399350012,105
32915316254526216,11
33211529028073724,103
33370689631988384,101
33693096526492028,91
34167394837806872,105
34195908509313736,103
34336268831254964,101
34509234031352996,108
34603189070221048,120
35075125161995864,96
35100020715242984,91
36036980044465000,105
36068652395159400,103
36106660540656240,20
36107021652464152,91
36234363815372312,91
36259547857801928,108
36684543821015528,120
36724561440933176,101
36793980827689168,105
36821829744824544,103
36859556046206096,108
37122324350938688,108
37328730577972656,107
37597293331620800,11
37604404956011240,101
38100309883544832,101
38115281914148576,105
38187189116529880,105
38252683623515616,79
38609923536892704,108
38724637674498296,79
38796480469071784,104
38862348028291840,103
38936588975580072,140
39023204958112080,101
39292739359711440,29
39422100661067896,67
39487894467606320,108
39527515363583992,105
39864868946620840,101
39919117048681664,96
40311106823462784,101
40383001516337984,103
40557617681963168,105
40558832037244192,140
41350731530215752,105
41374488277531568,86
41386417137111040,120
41470068537775816,107
41881192827429664,105
41894074369681552,108
41920531718601176,107
42021663194734072,101
42093883945911384,105
42238761619422992,79
42252476091949608,105
42320626971733896,86
42499861791474272,8
42785364079179008,103
42880399142312024,86
43013317830228256,103
43039102400633344,108
43057017953483336,120
43157535994579696,103
43380935815393616,79
43424284278507784,79
43517203375176608,108
44325803780869232,108
44488493747835056,108
44529390480225744,48
44547132577029248,120
44787840026981624,140
44851953395221704,107
44866471675053984,101
44895896646672944,105
45048055729279816,105
45269824327695016,101
45533205619346424,107
45802169013220096,11
45888844789735280,101
46035351618406328,104
46248032855405744,107
46319707895314416,11
46538957071952600,120
46760322439314336,101
46895458247869488,105
46939573821736840,104
47634037470877416,105
47662309984168264,107
47672734424023272,101
47721135229359232,105
47852578194178304,108
47906016896117120,105
47943111936517968,140
48235107799025312,107
48454925689113912,104
48470217067843280,105
48618000409377712,101
48682553966909256,103
48858495989093456,140
49062621750933616,140
49102307084611344,104
49245497424308720,91
49265987478056944,101
49579773578382560,103
50013010619599392,108
50071284391589408,103
50103696486207160,108
50209378899457920,91
50586946326510192,105
51087679066328432,120
51148447290565328,101
51257270993939504,96
51282860554785696,120
51593230324570112,91
51626102990431656,101
51667635124926112,105
51684389664459432,101
51799607585806880,108
51808390912384256,101
51827471850690536,105
51846942226616856,91
51956206772069184,140
51966908516333368,108
52093822456407488,140
52213386514244984,91
52299633337395952,91
52493128589770104,105
52544205060753152,105
52752124520450392,48
52797073753816744,48
52818000569505656,107
52883330857519488,120
52896109725022928,101
53013068094176680,103
53013572462374040,79
53039880770711992,105
53075453782589208,104
53276105370044032,101
53306636517675080,96
53464611901841872,96
54192702680862432,91
54268440819774424,105
54335433030833616,108
54381542514090480,103
54399353945462224,86
54520421133763080,108
54791352010765392,105
55036784936540448,103
55077928275794448,101
55155880717588152,79
55585719749691408,101
55755822186886560,101
55837275268239776,101
55842274896324320,107
56361348071064736,105
56570207361645896,79
56661466402912672,96
56902821528743696,108
57043000787337536,32
57080102548862200,108
57081980754888944,104
57164323162144240,101
57617553076969312,20
58104390345972912,103
58401220538126584,108
58420051484617784,101
58652628290274336,79
58724844122447176,11
58783604530134536,29
58893705409664624,11
59113320667493408,107
59625724522001872,101
59750364556913504,108
59783793505039616,108
59792695502677424,101
59874482679210768,120
59946404453902936,108
60040103914365264,140
60082942499880144,140
60120121110914824,104
60200515962749328,101
60343226202839008,105
60428022376805344,105
60439382950908160,96
60576602165722320,41
60837444546314824,101
60856388378798048,105
60928509878033768,107
61191292609908704,8
61705395530235616,104
61903519488997648,105
61991806614212312,101
62029507720066032,120
62171799977328592,11
62379010499265736,32
62630716381380680,96
62687580380071864,91
62755328854023624,140
62832960398915672,140
62929211353278424,108
62959435913144776,108
63185775846688584,108
63704153876314968,120
63948382312383728,101
63950982682447056,96
63956090168648960,105
64126547622574256,29
64243770210629256,101
64472175120304544,120
64513711037687312,105
64907951360166776,48
65159267049472992,140
65341360134379192,96
65524382218584712,140
65613314108761176,120
65718833905546000,105
65820692901516128,103
65969502986678912,101
66300961304367768,104
66788889034887688,101
66876923576629560,73
66935541944908184,104
66944857655967448,91
67162023264356992,101
67163193885244224,105
67165975841045984,108
67734959435687024,103
67985032880690192,107
68065470728167976,104
68140374484894712,105
68239049363713144,108
68354622602836480,11
68509462045282832,105
68641787241939456,96
68696813181796272,105
68705946085019424,79
68838438935468312,86
69030303085084072,101
69276512622839544,91
69537112710723456,140
69559202610870696,108
69569078005525248,91
69672179867710576,101
69672283749952848,105
69719583233835704,107
69939005954315688,101
70127501175600744,11
70185603791883720,107
70218850971385456,86
70344827463731656,41
70345005957579016,96
70482781392720672,120
70651543074324880,140
70892055321743320,140
71303806858517952,91
71417995296772640,91
71535961719447312,120
71640986421346984,140
71676612201759408,8
71682978096146256,105
71796007760737432,79
71802898382182424,91
71855053116585904,108
71963145292567088,105
