hour,rel_spread,depth_total,instrument_id,date,underlying_name,opt_type
9,1.4628548419569156,6.0,66046912715531,20260125,اهرم,call
10,1.1727682031013629,1712.0,66046912715531,20260125,اهرم,call
11,1.4628548419569156,507.0,66046912715531,20260125,اهرم,call
12,1.4628548419569156,2115.0,66046912715531,20260125,اهرم,call
10,1.8686361624379018,30.0,314426943408035,20251122,اهرم,call
11,1.9971997996837962,80.5,314426943408035,20251122,اهرم,call
9,1.9994278357888715,150.0,314426943408035,20251123,اهرم,call
10,1.9937151835452078,1150.0,314426943408035,20251123,اهرم,call
11,1.9558573853989814,599.0,314426943408035,20251123,اهرم,call
12,1.072358670886305,133.5,314426943408035,20251123,اهرم,call
9,1.9990002499375157,154.0,314426943408035,20251125,اهرم,call
12,1.999333444425929,104.0,314426943408035,20251125,اهرم,call
8,1.110122358175751,150.0,314426943408035,20251126,اهرم,call
9,0.9430030079936185,265.0,314426943408035,20251126,اهرم,call
10,0.7462239420796405,178.0,314426943408035,20251126,اهرم,call
11,0.6561002067633251,823.5,314426943408035,20251126,اهرم,call
12,0.5670279520821448,421.0,314426943408035,20251126,اهرم,call
8,1.2932862190812722,250.0,314426943408035,20251129,اهرم,call
9,0.7987987987987988,360.0,314426943408035,20251129,اهرم,call
11,0.7229741019214704,212.5,314426943408035,20251129,اهرم,call
8,0.9971181556195965,250.0,314426943408035,20251130,اهرم,call
9,0.5551684088269454,374.0,314426943408035,20251130,اهرم,call
10,0.49069478908188585,64.5,314426943408035,20251130,اهرم,call
11,0.21483942414174972,35.0,314426943408035,20251130,اهرم,call
12,0.18340611353711792,6.0,314426943408035,20251130,اهرم,call
8,0.7878787878787878,110.0,314426943408035,20251201,اهرم,call
9,0.4829298572315332,66.5,314426943408035,20251201,اهرم,call
10,0.5891325071496664,22.0,314426943408035,20251201,اهرم,call
10,1.6913139261513668,162.0,358972276573533,20250923,اهرم,call
11,1.6697247706422018,274.0,358972276573533,20250923,اهرم,call
10,1.6921656859351564,11.0,358972276573533,20250924,اهرم,call
12,1.6781609195402298,260.0,358972276573533,20250924,اهرم,call
10,1.994670219853431,16.0,436022019237590,20251122,اهرم,call
11,1.6920708237105466,36.0,436022019237590,20251122,اهرم,call
9,1.9166666666666667,126.0,436022019237590,20251123,اهرم,call
10,1.750997605746209,342.0,436022019237590,20251123,اهرم,call
11,1.6862745098039216,252.0,436022019237590,20251123,اهرم,call
12,1.684829478635829,141.0,436022019237590,20251123,اهرم,call
9,1.6904539060195585,133.0,436022019237590,20251125,اهرم,call
9,1.9983680130558956,120.0,436022019237590,20251126,اهرم,call
10,1.983739837398374,122.0,436022019237590,20251126,اهرم,call
9,1.8289727322913745,32.5,436022019237590,20251129,اهرم,call
11,1.635629314143046,84.0,436022019237590,20251129,اهرم,call
12,1.5294117647058822,135.0,436022019237590,20251129,اهرم,call
8,1.5471698113207548,25.0,436022019237590,20251130,اهرم,call
9,1.4801925212884117,140.0,436022019237590,20251130,اهرم,call
10,1.3988044406490179,64.0,436022019237590,20251130,اهرم,call
11,1.4789045151739453,54.0,436022019237590,20251130,اهرم,call
12,1.3988044406490179,40.0,436022019237590,20251130,اهرم,call
9,1.639304488475536,22.0,436022019237590,20251201,اهرم,call
10,1.639304488475536,25.0,436022019237590,20251201,اهرم,call
11,1.598740440845704,100.0,436022019237590,20251201,اهرم,call
9,0.16697024893746204,202.0,1159774479861052,20250802,اهرم,call
10,0.08522695070751168,173.0,1159774479861052,20250802,اهرم,call
11,0.029832385053052437,158.0,1159774479861052,20250802,اهرم,call
12,0.02996941896024465,233.0,1159774479861052,20250802,اهرم,call
9,0.17361961130077752,285.5,1159774479861052,20250803,اهرم,call
10,0.029818082341676926,152.0,1159774479861052,20250803,اهرم,call
11,0.05013270421704512,123.0,1159774479861052,20250803,اهرم,call
12,0.08371344244700832,99.0,1159774479861052,20250803,اهرم,call
8,0.4781894044759135,232.0,1159774479861052,20250804,اهرم,call
9,0.04155423637344846,234.0,1159774479861052,20250804,اهرم,call
10,0.07228915662650602,278.0,1159774479861052,20250804,اهرم,call
11,0.07519157088122605,246.0,1159774479861052,20250804,اهرم,call
12,0.04245023644561751,264.0,1159774479861052,20250804,اهرم,call
9,0.09796410840688308,207.0,1159774479861052,20250805,اهرم,call
10,0.05527638190954774,180.5,1159774479861052,20250805,اهرم,call
11,0.030513176144244106,129.0,1159774479861052,20250805,اهرم,call
12,0.03100546286726709,251.0,1159774479861052,20250805,اهرم,call
8,0.4650703529992594,12.0,1159774479861052,20250806,اهرم,call
9,0.0673514497464569,322.0,1159774479861052,20250806,اهرم,call
10,0.04029036655471056,200.5,1159774479861052,20250806,اهرم,call
11,0.022733280465239227,300.0,1159774479861052,20250806,اهرم,call
12,0.019104337747527806,269.0,1159774479861052,20250806,اهرم,call
8,0.4400981842212921,197.5,1159774479861052,20250809,اهرم,call
9,0.04234493031173529,722.0,1159774479861052,20250809,اهرم,call
10,0.024379721518789414,525.0,1159774479861052,20250809,اهرم,call
11,0.01907031948201433,294.5,1159774479861052,20250809,اهرم,call
12,0.009553478712357217,272.0,1159774479861052,20250809,اهرم,call
8,0.4294478527607362,191.0,1159774479861052,20250810,اهرم,call
9,0.013271400132714002,315.0,1159774479861052,20250810,اهرم,call
10,0.014793605344786447,349.0,1159774479861052,20250810,اهرم,call
11,0.007839633531154796,299.0,1159774479861052,20250810,اهرم,call
12,0.009500113096584483,359.0,1159774479861052,20250810,اهرم,call
9,0.17840897564399869,209.5,1297661069994378,20251224,اهرم,put
10,0.09779579427413225,504.0,1297661069994378,20251224,اهرم,put
11,0.07253886010362694,653.0,1297661069994378,20251224,اهرم,put
12,0.03249630723781388,148.0,1297661069994378,20251224,اهرم,put
14,0.8365285508142651,682.0,1297661069994378,20251224,اهرم,put
8,0.8359788359788359,319.5,1297661069994378,20251227,اهرم,put
9,0.03711116331645825,352.0,1297661069994378,20251227,اهرم,put
10,0.02008694348673362,740.0,1297661069994378,20251227,اهرم,put
11,0.01465091941994319,511.0,1297661069994378,20251227,اهرم,put
12,0.03330876934414149,122.0,1297661069994378,20251227,اهرم,put
8,0.9056384421623717,99.0,1297661069994378,20251228,اهرم,put
9,0.01334668001334668,336.0,1297661069994378,20251228,اهرم,put
10,0.015414258188824663,251.0,1297661069994378,20251228,اهرم,put
11,0.012903225806451613,335.0,1297661069994378,20251228,اهرم,put
12,0.010992563853863564,436.0,1297661069994378,20251228,اهرم,put
8,0.08971345544943243,344.0,1297661069994378,20251229,اهرم,put
9,0.014553596417576267,504.0,1297661069994378,20251229,اهرم,put
10,0.010372781283938495,392.0,1297661069994378,20251229,اهرم,put
11,0.005865102639296188,356.0,1297661069994378,20251229,اهرم,put
12,0.005985914787076457,420.0,1297661069994378,20251229,اهرم,put
8,0.0,191.0,1297661069994378,20251230,اهرم,put
9,0.008645869844608014,430.0,1297661069994378,20251230,اهرم,put
10,0.007564469914040114,465.0,1297661069994378,20251230,اهرم,put
11,0.010810810810810811,364.0,1297661069994378,20251230,اهرم,put
12,0.009663703131039814,161.0,1297661069994378,20251230,اهرم,put
8,0.16372160689654514,278.0,1297661069994378,20251231,اهرم,put
9,0.020127735558663096,242.5,1297661069994378,20251231,اهرم,put
10,0.012195121951219513,346.5,1297661069994378,20251231,اهرم,put
11,0.016430171769977596,311.0,1297661069994378,20251231,اهرم,put
12,0.01451378809869376,380.0,1297661069994378,20251231,اهرم,put
9,1.9913068484497056,114.5,1885245589051719,20250727,اهرم,put
10,0.6394557823129252,9.0,1885245589051719,20250727,اهرم,put
11,1.683309181925965,123.0,1885245589051719,20250729,اهرم,put
12,1.683794466403162,123.0,1885245589051719,20250729,اهرم,put
8,1.9945006874140732,15.0,1885245589051719,20250730,اهرم,put
9,1.9944199023482911,113.0,1885245589051719,20250730,اهرم,put
10,1.9946521090627631,113.5,1885245589051719,20250730,اهرم,put
11,1.9946521090627631,113.5,1885245589051719,20250730,اهرم,put
12,1.9948843157772351,113.0,1885245589051719,20250730,اهرم,put
10,1.9997833035375698,5100.0,2844510337092383,20251220,اهرم,call
11,1.988116458704694,242.0,2844510337092383,20251220,اهرم,call
12,1.8939901400988082,760.0,2844510337092383,20251220,اهرم,call
9,0.42224632679222956,150.0,2844510337092383,20251221,اهرم,call
10,0.27966567018485755,300.0,2844510337092383,20251221,اهرم,call
11,0.1972237245357851,101.0,2844510337092383,20251221,اهرم,call
12,0.18132217877602982,120.0,2844510337092383,20251221,اهرم,call
9,1.7821215014320888,201.0,2844510337092383,20251222,اهرم,call
10,0.4327554118914683,102.0,2844510337092383,20251222,اهرم,call
11,0.14737127218461193,111.0,2844510337092383,20251222,اهرم,call
12,0.1641169991433117,171.0,2844510337092383,20251222,اهرم,call
9,0.19380475029350672,101.0,2844510337092383,20251223,اهرم,call
10,0.1943483102109603,102.0,2844510337092383,20251223,اهرم,call
11,0.22772101813027815,117.0,2844510337092383,20251223,اهرم,call
12,0.20194013438927455,117.0,2844510337092383,20251223,اهرم,call
9,0.3085171844278929,103.5,2844510337092383,20251224,اهرم,call
10,0.1606227685316342,114.5,2844510337092383,20251224,اهرم,call
11,0.11624247570996828,110.0,2844510337092383,20251224,اهرم,call
12,0.1403658874153854,112.0,2844510337092383,20251224,اهرم,call
10,0.2044174028660678,63.0,2844510337092383,20251227,اهرم,call
12,0.12281483914869654,172.0,2844510337092383,20251227,اهرم,call
9,0.3834372773354291,127.0,2844510337092383,20251228,اهرم,call
10,0.18181818181818182,256.0,2844510337092383,20251228,اهرم,call
11,0.17963638010279168,98.0,2844510337092383,20251228,اهرم,call
13,0.18458256745410398,196.0,2844510337092383,20251228,اهرم,call
11,0.6660742057320596,53.0,3091080135295837,20250805,اهرم,call
12,0.4,25.0,3091080135295837,20250805,اهرم,call
9,0.5583332319253854,201.5,3091080135295837,20250806,اهرم,call
10,0.31554573202820757,121.0,3091080135295837,20250806,اهرم,call
11,0.23989637305699482,161.5,3091080135295837,20250806,اهرم,call
12,0.2,14.0,3091080135295837,20250806,اهرم,call
9,0.2192151358306284,36.0,3091080135295837,20250809,اهرم,call
8,0.3998399839983998,20.0,3091080135295837,20250810,اهرم,call
11,1.9994969186265878,105.0,3204302215526267,20250823,اهرم,put
12,1.9995551106662217,102.0,3204302215526267,20250825,اهرم,put
9,1.7820556599731443,77.5,3204302215526267,20250826,اهرم,put
10,1.8587554269175108,1500.0,3211030207448646,20251122,اهرم,call
9,1.9951062173284395,211.0,3211030207448646,20251123,اهرم,call
10,1.9897861064294875,3279.5,3211030207448646,20251123,اهرم,call
11,1.950725912890453,567.0,3211030207448646,20251123,اهرم,call
9,1.9724370653189904,3181.5,3211030207448646,20251125,اهرم,call
11,0.5470099265595997,3263.0,3211030207448646,20251125,اهرم,call
8,1.9994994368664747,150.0,3211030207448646,20251126,اهرم,call
9,0.7803398039883452,165.0,3211030207448646,20251126,اهرم,call
10,0.7684210526315789,168.0,3211030207448646,20251126,اهرم,call
11,0.7706083750329207,168.0,3211030207448646,20251126,اهرم,call
12,1.9994930933975414,105.0,3211030207448646,20251126,اهرم,call
8,1.9994653121240475,150.0,3211030207448646,20251129,اهرم,call
9,1.946188340807175,1152.0,3211030207448646,20251129,اهرم,call
11,0.6787138975379711,865.0,3211030207448646,20251129,اهرم,call
12,0.717201166180758,1660.0,3211030207448646,20251129,اهرم,call
